Full Name,Win Rate,Total Fight,Win,Lose,Draw,Height,Weight,Reach,STANCE,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub. Avg
Martin Kampmann,0.740740741,27,20,7,0,"6' 0""",170 lbs.,"72""",Orthodox,"Apr 17, 1982",3.22,0.42,3.28,0.62,1.86,0.41,0.78,2
Junya Kudo,0.526315789,19,10,7,2,--,135 lbs.,--,Orthodox,--,1.85,0.71,4.44,0.33,0.00,0.00,0.00,0
Steve Kennedy,0.75,32,24,8,0,"5' 11""",170 lbs.,--,Orthodox,"Mar 07, 1983",2.28,0.35,5.52,0.45,2.51,0.33,0.00,0
Waylon Kennell,0.75,8,6,2,0,"6' 0""",185 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Kai Kamaka,0.615384615,13,8,4,1,"5' 7""",145 lbs.,"69""",Orthodox,"Jan 05, 1995",4.96,0.57,5.29,0.55,1.93,0.58,0.52,0.3
Yusuke Kasuya,0.75,12,9,3,0,"5' 7""",155 lbs.,--,Southpaw,"Nov 16, 1989",2.17,0.44,4.34,0.48,1.36,0.33,0.00,0
Kyu Sung Kim,0.705882353,17,12,5,0,--,125 lbs.,--,,"Nov 05, 1992",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Mike King,0.833333333,6,5,1,0,"6' 3""",185 lbs.,--,,"Aug 04, 1983",4.44,0.58,1.29,0.72,1.75,0.25,0.40,3.5
Brian Kelleher,0.615384615,39,24,15,0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",3.39,0.41,4.64,0.54,1.74,0.41,0.60,0.7
MinWoo Kim,0.833333333,12,10,2,0,"5' 8""",135 lbs.,"72""",Orthodox,"Jul 21, 1993",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Ken Kaneko,0,3,0,3,0,"6' 0""",161 lbs.,--,Orthodox,--,0,0.00,0.94,0.42,0.00,0.00,0.00,3.5
Yuki Kondo,0.588235294,102,60,33,9,"5' 11""",183 lbs.,--,Southpaw,"Jul 17, 1975",1.14,0.42,2.57,0.51,0.76,0.41,0.37,0.5
Matt Kovacs,0.428571429,28,12,16,0,"6' 0""",244 lbs.,--,Orthodox,--,1.47,0.22,4.87,0.44,1.00,0.25,0.00,0
Jason Knight,0.8,25,20,5,0,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 14, 1992",2.95,0.33,3.02,0.51,1.31,0.31,0.47,1.7
Ernesta Kareckaite,0.833333333,6,5,0,1,"5' 9""",125 lbs.,"71""",Orthodox,"Jul 05, 1998",12.27,0.45,11.20,0.42,1.00,0.50,1.00,0
Mariusz Ksiazkiewicz,0.888888889,9,8,1,0,"6' 3""",185 lbs.,"75""",Southpaw,"Oct 04, 1989",0.93,0.45,3.40,0.39,4.00,1.00,0.00,2
Maiju Kujala,0.666666667,9,6,3,0,--,135 lbs.,--,,--,2.5,0.40,5.50,0.36,0.00,0.00,0.50,0
Daniel Kelly,0.764705882,17,13,4,0,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",3.62,0.38,4.64,0.61,1.86,0.34,0.78,0.3
Yusaku Kinoshita,0.666666667,9,6,3,0,"6' 0""",170 lbs.,"71""",Southpaw,"Aug 21, 2000",4.65,0.50,5.12,0.51,0.00,0.00,0.50,0
Ron Keslar,0.55,20,11,9,0,--,185 lbs.,--,,--,0,0.00,2.05,0.60,0.00,0.00,1.00,7.7
Anton Kuivanen,0.705882353,34,24,10,0,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984",2.27,0.38,1.63,0.67,1.20,1.00,0.71,0.4
Dhiego Lima,0.653846154,26,17,9,0,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989",3.12,0.39,3.88,0.58,1.26,0.34,0.73,0.6
Mickael Lebout,0.695652174,23,16,7,1 (1 NC),"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987",2.6,0.34,2.98,0.54,0.00,0.00,0.60,0
Tucker Lutz,0.75,16,12,4,0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 12, 1994",3.74,0.46,3.25,0.44,1.99,0.44,0.69,0.2
Aaron Lanfranco,0.833333333,6,5,1,0,--,155 lbs.,--,,"Aug 26, 1986",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Brandon Lowe,0.666666667,3,2,1,0,--,155 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Mabelly Lima,0.875,8,7,1,0,"5' 2""",135 lbs.,--,Orthodox,"Jan 25, 1994",3.07,0.63,5.67,0.44,0.00,0.00,1.00,0
Jose Landi-Jons,0.644444444,45,29,16,0,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973",0.99,0.40,0.77,0.43,2.20,0.80,0.40,2.2
Robbie Lawler,0.652173913,46,30,16,0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982",3.85,0.47,4.67,0.59,0.65,0.64,0.65,0
Austen Lane,0.75,16,12,4,0 (1 NC),"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987",4.48,0.47,2.85,0.48,0.00,0.00,0.00,0
Kyle Levinton,0,3,0,3,0,--,--,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Chuck Liddell,0.724137931,29,21,8,0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969",2.97,0.35,2.71,0.56,0.44,0.75,0.81,0
Iasmin Lucindo,0.75,20,15,5,0,"5' 3""",115 lbs.,"66""",Orthodox,"Jan 08, 2002",3.33,0.39,3.23,0.67,2.33,0.66,0.66,0.4
Ricky Legere Jr.,0.777777778,18,14,4,0,"5' 8""",170 lbs.,--,,--,1.07,0.41,1.53,0.60,5.00,0.41,0.00,0
Lina Lansberg,0.555555556,18,10,8,0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",2.69,0.55,3.87,0.44,0.52,0.27,0.47,0.1
Marcus LeVesseur,0.75862069,29,22,7,0,"5' 9""",155 lbs.,"70""",Southpaw,"Jul 17, 1982",2.55,0.64,3.70,0.37,3.89,0.36,0.83,0.6
Thanh Le,0.857142857,7,6,1,0,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985",1.97,0.40,1.82,0.70,0.00,0.00,1.00,0
Jerome LeBanner,0.6,5,3,2,0,"6' 3""",265 lbs.,--,Southpaw,"Dec 26, 1972",0.92,0.35,1.03,0.37,0.00,0.00,0.50,0
Hyun Gyu Lim,0.619047619,21,13,7,1,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985",4.45,0.41,5.07,0.51,0.23,1.00,0.73,0.2
Eric Lawson,0.642857143,14,9,5,0,"6' 0""",185 lbs.,--,Orthodox,--,1.58,0.57,1.97,0.44,8.88,0.42,0.00,3
Waylon Lowe,0.695652174,23,16,7,0 (2 NC),"5' 7""",145 lbs.,--,Southpaw,"Oct 31, 1980",1.88,0.55,2.40,0.53,4.47,0.55,0.83,0.3
Matt Lucas,0.833333333,18,15,3,0,"6' 1""",205 lbs.,--,,--,1.27,0.48,3.93,0.40,1.00,0.10,0.00,0
Hector Lombard,0.772727273,44,34,10,1 (2 NC),"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978",3.02,0.46,3.35,0.53,1.69,0.48,0.77,0.5
Jeremiah Labiano,0.6875,16,11,5,0,"5' 10""",135 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Noad Lahat,0.846153846,13,11,2,0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984",2.79,0.46,1.47,0.63,2.37,0.26,0.16,2.4
David Levicki,0.25,4,1,3,0,"6' 5""",275 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Emiliano Linares,0.8,10,8,2,0,"5' 8""",145 lbs.,"72""",Orthodox,"Apr 21, 1997",1.17,0.28,3.59,0.26,0.00,0.00,0.33,0
Rocky Lee,0.6,5,3,2,0,"5' 9""",145 lbs.,--,Orthodox,"Apr 08, 1987",2.47,0.51,5.33,0.44,1.00,0.10,0.33,0
Amanda Lemos,0.777777778,18,14,3,1,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987",3.43,0.54,4.21,0.44,0.98,0.63,0.57,0.7
Brock Larson,0.807692308,52,42,10,0,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977",1.39,0.46,1.50,0.55,2.67,0.34,0.43,2
James Llontop,0.875,16,14,2,0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 02, 1999",4.93,0.54,1.93,0.74,0.00,0.00,0.71,0
Anthony Lapsley,0.766666667,30,23,7,0 (2 NC),"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980",0.53,0.34,0.58,0.66,0.00,0.00,0.20,0
Travis Lutter,0.625,16,10,6,0,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973",0.41,0.32,2.42,0.42,1.95,0.24,0.30,0.7
Li Yunfeng,0.692307692,13,9,4,0,--,145 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Gustavo Lopez,0.631578947,19,12,6,1,"5' 5""",135 lbs.,"67""",Orthodox,"Jun 27, 1989",2.48,0.40,3.87,0.57,1.74,0.41,0.31,0.7
Lu Kai,0.615384615,13,8,5,0 (1 NC),"5' 9""",145 lbs.,"69""",Orthodox,"Mar 01, 1994",3.76,0.43,5.51,0.55,2.62,0.50,1.00,2.6
Chad Laprise,0.764705882,17,13,4,0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986",4.78,0.42,3.59,0.65,1.05,0.54,0.78,0
Dean Lister,0.65,20,13,7,0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976",1.26,0.35,1.89,0.61,1.58,0.15,0.50,1.1
Gabe Lemley,0.590909091,22,13,9,0,"5' 8""",155 lbs.,--,Orthodox,--,0.82,0.35,6.03,0.45,0.00,0.00,0.00,0
Jae Suk Lim,0.739130435,23,17,6,0,"5' 9""",170 lbs.,--,Orthodox,"Nov 09, 1979",2.43,0.50,4.05,0.37,12.16,1.00,1.00,0
Eun Soo Lee,0.80952381,21,17,4,0 (1 NC),"6' 1""",215 lbs.,--,Orthodox,"Mar 07, 1982",0,0.00,3.05,0.60,0.00,0.00,0.50,0
Benito Lopez,0.833333333,12,10,2,0,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994",4.39,0.45,5.18,0.56,0.00,0.00,0.73,0.3
Jakob Lovstad,0.733333333,15,11,4,0,"6' 3""",205 lbs.,--,Orthodox,--,0,0.00,9.43,0.35,0.00,0.00,0.00,0
Jorge Lopez,0.6875,16,11,5,0,"5' 10""",170 lbs.,--,Orthodox,"Nov 21, 1988",2.47,0.59,2.57,0.50,3.50,0.41,0.81,0
Scott Lighty,0.75,8,6,2,0,"6' 2""",205 lbs.,--,,"Oct 15, 1978",2.91,0.21,4.24,0.49,0.00,0.00,0.00,0
Ryan Larson,0.75,8,6,2,0,--,170 lbs.,--,,"Dec 30, 1980",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Ben Lagman,0.545454545,11,6,5,0,"6' 2""",185 lbs.,--,,"Sep 04, 1986",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Sherron Leggett,0.777777778,27,21,6,0,"5' 8""",155 lbs.,--,Southpaw,"Oct 27, 1978",2.86,0.51,2.08,0.47,5.19,0.80,0.33,0
Federico Lopez,0.625,16,10,6,0,"5' 4""",139 lbs.,--,Orthodox,--,1.78,0.23,5.35,0.30,0.00,0.00,0.00,0
Abner Lloveras,0.666666667,30,20,9,1,"5' 11""",155 lbs.,--,,"Sep 04, 1982",6.27,0.49,6.87,0.43,2.00,0.20,0.00,0
Philipe Lins,0.782608696,23,18,5,0,"6' 2""",205 lbs.,"78""",Orthodox,"Aug 17, 1985",3.8,0.49,3.59,0.46,1.65,0.33,1.00,0
Dileno Lopes,0.863636364,22,19,3,0,"5' 5""",135 lbs.,--,,"Sep 26, 1984",2.37,0.36,3.33,0.53,2.50,0.31,1.00,1.5
Cleber Luciano,0.7,20,14,6,0,"5' 6""",155 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Victoria Leonardo,0.6,15,9,6,0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990",3.27,0.39,4.70,0.46,1.60,0.27,0.71,0
Ronnie Lawrence,0.8,10,8,2,0 (1 NC),"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992",2.78,0.56,1.75,0.52,6.75,0.77,0.45,0.2
David Lee,0.545454545,22,12,10,0,"5' 10""",155 lbs.,--,Orthodox,--,1.49,0.50,3.31,0.42,0.00,0.00,0.50,0
Matt Lee,0.56,25,14,10,1,"5' 11""",155 lbs.,--,Orthodox,--,0,0.00,9.68,0.21,0.00,0.00,0.00,0
Artem Lobov,0.464285714,28,13,15,1 (1 NC),"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986",3.52,0.41,4.82,0.50,0.39,0.25,0.52,0
Juliana Lima,0.642857143,14,9,5,0,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982",1.94,0.44,2.11,0.55,1.72,0.31,0.70,0
Brendan Loughnane,0.85,20,17,3,0,"5' 10""",145 lbs.,"70""",Switch,"Dec 05, 1989",6.23,0.63,6.70,0.53,1.50,0.30,0.92,0
Jenel Lausa,0.583333333,12,7,5,0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988",1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8
Joe Lauzon,0.636363636,44,28,16,0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984",2.84,0.39,5.39,0.54,2.39,0.45,0.54,2
Achmed Labasanov,0.636363636,11,7,4,0,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978",0.75,0.39,1.10,0.46,3.00,1.00,0.00,0.8
Cheyden Leialoha,1,6,6,0,0,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994",1.87,0.28,3.20,0.53,2.00,0.33,0.71,0
Claudia Leite,0.727272727,11,8,3,0,"5' 3""",135 lbs.,"64""",Orthodox,"Nov 04, 1996",1.27,0.47,1.73,0.57,1.00,0.25,0.00,1
Bevon Lewis,0.7,10,7,3,0,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991",3.73,0.43,2.67,0.54,0.00,0.00,0.66,0
Luan Lacerda,0.8,15,12,3,0,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993",4.52,0.44,7.07,0.47,1.26,0.25,0.75,0.6
Lionel Lanham,0.833333333,6,5,1,0,--,205 lbs.,--,,"Aug 31, 1980",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Sione Latu,1,1,1,0,0,"6' 0""",215 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Miguel Linares,0.333333333,6,2,4,0,--,--,--,,--,6.51,0.50,8.84,0.36,0.00,0.00,0.00,0
Stephanie Luciano,0.714285714,7,5,1,1,"5' 6""",115 lbs.,"65""",Orthodox,"Dec 16, 1999",5.8,0.57,2.33,0.61,1.00,1.00,0.83,0
Stevie Lynch,0.714285714,7,5,2,0,"5' 10""",170 lbs.,--,Orthodox,--,2.47,0.25,7.06,0.41,0.00,0.00,0.00,0
Jake Lindsey,0.631578947,19,12,7,0,"5' 11""",155 lbs.,--,Switch,"Jun 21, 1986",3.44,0.52,4.01,0.46,0.65,0.33,0.50,0
Jeremy Larsen,0.615384615,13,8,5,0,"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984",4.87,0.48,5.75,0.57,2.49,0.33,0.00,0
John Lober,0.277777778,18,5,9,4,"5' 11""",199 lbs.,--,Orthodox,"Feb 26, 1968",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Thomas Longacre,0.857142857,7,6,1,0,"5' 9""",145 lbs.,--,Orthodox,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Paula Luna,0.714285714,7,5,2,0,--,125 lbs.,--,,"May 07, 1999",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Donnie Liles,0.708333333,24,17,7,0,"5' 9""",170 lbs.,--,Orthodox,--,2.25,0.41,1.75,0.65,2.50,0.28,0.00,1.2
Chris Leben,0.666666667,33,22,11,0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980",2.87,0.42,2.87,0.52,1.14,0.41,0.53,0.8
Sean Lally,0.7,10,7,3,0,"6' 0""",170 lbs.,--,Orthodox,"Nov 04, 1990",5.34,0.39,7.23,0.30,0.00,0.00,0.00,0
Chatt Lavender,0.5625,16,9,7,0,"5' 8""",170 lbs.,--,,"May 24, 1976",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Dan Lauzon,0.739130435,23,17,6,0,"5' 10""",155 lbs.,--,Orthodox,"Mar 30, 1988",1.34,0.25,4.09,0.61,1.63,0.33,0.80,2.7
Icho Larenas,0.545454545,11,6,5,0,"6' 3""",235 lbs.,--,Orthodox,"Mar 12, 1980",0.17,0.15,2.50,0.28,0.00,0.00,0.14,0
Zviad Lazishvili,0.928571429,14,13,1,0,"5' 6""",135 lbs.,"69""",Orthodox,"Oct 25, 1991",4.2,0.39,6.13,0.51,0.00,0.00,0.00,0
Chi Lewis-Parry,1,7,7,0,1 (2 NC),"6' 9""",243 lbs.,--,,"Aug 10, 1983",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Austin Lingo,0.75,12,9,3,0,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994",3.86,0.37,4.86,0.57,0.43,0.66,0.75,0
Douglas Lima,0.828571429,35,29,6,0,"6' 1""",170 lbs.,--,,"Jan 05, 1988",1.92,0.36,2.84,0.60,0.60,1.00,0.46,0
Michael Lombardo,0.846153846,13,11,2,0 (1 NC),"6' 0""",170 lbs.,"72""",Orthodox,"Apr 03, 1990",1.47,0.62,2.63,0.31,2.50,0.21,0.60,0
Quang Le,1,8,8,0,0,--,135 lbs.,--,,"Oct 18, 1991",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Ivan Lopez,0.777777778,18,14,3,1,"5' 6""",135 lbs.,--,Southpaw,--,0.9,0.26,2.24,0.65,0.00,0.00,0.30,0
Frank Lester,0.647058824,17,11,6,0 (1 NC),"5' 11""",170 lbs.,--,Orthodox,"Jun 10, 1984",2.18,0.36,3.82,0.53,0.00,0.00,0.00,0
Kemran Lachinov,0.6,5,3,2,0,--,170 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Jason Lambert,0.666666667,39,26,13,0,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975",3.21,0.58,1.84,0.50,1.35,0.36,0.28,2.4
Rodrigo Lidio,0.8,15,12,3,0,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 07, 1989",0.97,0.50,0.00,1.00,0.00,0.00,0.50,0
Diego Lopes,0.8,30,24,6,0,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994",3.22,0.58,4.73,0.37,0.00,0.00,0.42,5
Tom Lawlor,0.625,16,10,6,0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983",2.5,0.42,2.41,0.60,2.46,0.32,0.57,1.4
Lv Zhenhong,0.727272727,22,16,6,0,"5' 8""",145 lbs.,"67""",Switch,"Jun 25, 1993",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Natan Levy,0.8,10,8,2,0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 30, 1991",3.7,0.52,3.19,0.58,5.03,0.58,0.41,0.5
Justin Ledet,0.692307692,13,9,4,0 (1 NC),"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988",3.35,0.39,4.82,0.49,0.23,0.50,0.42,0.2
TJ Laramie,0.705882353,17,12,5,0,"5' 6""",145 lbs.,"66""",Orthodox,"Oct 15, 1997",1.49,0.50,2.64,0.38,1.44,0.33,0.40,0
Anthony Leone,0.652173913,23,15,8,0,"5' 6""",135 lbs.,--,Orthodox,"May 27, 1987",1.94,0.53,2.52,0.56,1.72,0.18,0.00,0
Nik Lentz,0.714285714,42,30,12,2 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984",3.44,0.47,3.25,0.50,3.30,0.32,0.43,1.2
Malik Lewis,0.75,8,6,2,0,"6' 0""",155 lbs.,"75""",Orthodox,"Mar 04, 1996",4.16,0.45,5.66,0.40,3.98,0.40,0.50,0
Daniel Lacerda,0.647058824,17,11,6,0 (1 NC),"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996",3.95,0.45,8.28,0.34,2.32,0.50,0.00,1.2
Taylor Lapilus,0.826086957,23,19,4,0,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",3.91,0.46,2.37,0.61,0.37,0.40,0.77,0.4
Stephen Ledbetter,0.727272727,11,8,3,0,"5' 9""",145 lbs.,--,Orthodox,"Jun 30, 1982",1.2,0.38,1.60,0.57,5.00,0.45,1.00,0
John Lewis,0.3,10,3,4,3,"6' 0""",155 lbs.,--,Southpaw,--,0,0.00,4.00,0.66,0.00,0.00,0.00,0
Thaddeus Luster,0,1,0,1,0,"6' 3""",210 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Kevin Lee,0.692307692,26,18,8,0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.88,0.42,3.60,0.50,3.18,0.43,0.75,0.8
Andrea Lee,0.590909091,22,13,9,0,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989",4.69,0.46,3.76,0.62,1.85,0.58,0.55,0.6
JeongYeong Lee,0.916666667,12,11,1,0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 13, 1995",2.81,0.53,1.57,0.59,0.96,0.66,0.76,0.5
Ian Loveland,0.642857143,28,18,10,0,"5' 8""",145 lbs.,--,Orthodox,"Sep 07, 1983",2.71,0.40,2.36,0.64,1.00,0.37,0.69,0.3
JungHyun Lee,0.888888889,9,8,1,0,"5' 5""",125 lbs.,"65""",Orthodox,"Sep 10, 2002",4.27,0.39,6.20,0.38,0.00,0.00,0.64,0
Robert Lucarelli,0,1,0,1,0,"6' 2""",245 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Muhammed Lawal,0.777777778,27,21,6,0 (1 NC),"6' 0""",205 lbs.,"78""",Southpaw,"Jan 11, 1981",3.79,0.52,1.61,0.66,5.96,0.75,0.87,0
Vaughan Lee,0.5,28,14,13,1,"5' 6""",125 lbs.,"66""",Orthodox,"Oct 15, 1982",3.47,0.47,2.07,0.70,0.81,0.33,0.72,1
Stefan Leko,0,3,0,3,0,"6' 2""",215 lbs.,--,Orthodox,"Jun 03, 1974",2.4,0.43,6.17,0.68,0.00,0.00,0.00,0
Alexandru Lungu,0.777777778,18,14,4,0,"6' 0""",385 lbs.,--,Orthodox,"Sep 03, 1974",3.61,0.66,7.22,0.40,0.00,0.00,0.00,0
Tainara Lisboa,0.777777778,9,7,2,0,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 02, 1991",2.05,0.50,1.40,0.54,2.05,0.40,0.70,0.5
Li Jingliang,0.703703704,27,19,8,0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988",4.46,0.42,3.84,0.57,1.25,0.41,0.60,0
Bobby Lashley,0.882352941,17,15,2,0,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976",3.1,0.63,0.76,0.63,11.47,0.70,0.00,0
Alberta Cerra Leon,0,1,0,1,0,"5' 8""",238 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Ariane Lipski,0.68,25,17,8,0,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994",4.27,0.40,4.23,0.52,0.64,0.55,0.79,0.4
Jordan Leavitt,0.785714286,14,11,3,0,"5' 9""",155 lbs.,"71""",Southpaw,"Jun 02, 1995",2.55,0.61,1.84,0.57,2.19,0.25,0.30,1.1
Tim Lajcik,0.5,14,7,6,1,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Brian Lo-A-Njoe,0.315789474,19,6,10,3,"5' 7""",155 lbs.,--,Orthodox,--,3.87,0.42,0.00,0.00,0.00,0.00,0.66,0
Lucas Lopes,0.604166667,48,29,19,0,"6' 2""",185 lbs.,--,,"Oct 05, 1979",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Sean Loeffler,0.861111111,36,31,5,0,"6' 3""",185 lbs.,--,Orthodox,"May 23, 1982",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Chris Liguori,0.6,25,15,10,0,"5' 9""",185 lbs.,--,Orthodox,--,0.29,0.33,1.44,0.00,0.00,0.00,0.50,0
Chad Leonhardt,0.692307692,13,9,4,0,"6' 0""",170 lbs.,--,,"Feb 19, 1980",0,0.00,0.00,0.00,0.00,0.00,0.00,0
Valerie Letourneau,0.571428571,14,8,6,0,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",4.51,0.37,5.40,0.58,0.77,0.45,0.66,0.3
Matthew Lopez,0.714285714,14,10,4,0,"5' 7""",135 lbs.,"69""",Southpaw,"Jan 21, 1987",3.13,0.50,3.73,0.55,3.32,0.60,0.71,1.3
Jackie Lee,0,1,0,1,0,--,--,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Brock Lesnar,0.625,8,5,3,0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977",3.53,0.72,2.11,0.50,3.90,0.55,0.60,0.5
Lance Lawrence,0.8,5,4,1,0,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993",5.87,0.50,9.80,0.24,1.00,1.00,0.50,0
Dalcha Lungiambula,0.647058824,17,11,6,0,"5' 8""",185 lbs.,"76""",Orthodox,"Jul 31, 1987",3.07,0.45,3.93,0.52,2.14,0.45,0.77,0
Tae Hyun Lee,0.333333333,3,1,2,0,"6' 6""",295 lbs.,--,Orthodox,"Jan 17, 1975",1.37,0.31,3.89,0.54,5.15,1.00,0.00,0
Liang Na,0.730769231,26,19,7,0,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1996",1.93,0.40,4.48,0.27,5.10,0.60,0.00,0.8
Sam Liera,0.545454545,22,12,10,0,--,--,--,,--,0.82,0.60,7.36,0.51,0.00,0.00,0.66,0
James Lee,0.833333333,18,15,3,0 (1 NC),"5' 11""",205 lbs.,--,Southpaw,"Sep 22, 1973",1.4,0.42,3.72,0.27,13.95,0.50,0.00,7
Yohan Lainesse,0.75,12,9,3,0,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992",2.22,0.41,3.38,0.58,0.94,0.28,0.72,0.5
Derrick Lewis,0.692307692,39,27,12,0 (1 NC),"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985",2.43,0.50,2.48,0.40,0.53,0.26,0.53,0
Wesley Little,0.333333333,12,4,8,0,"6' 4""",205 lbs.,--,,--,0,0.00,0.00,0.00,0.00,0.00,0.00,0
Ilir Latifi,0.653846154,26,17,9,0 (1 NC),"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982",2.05,0.45,2.93,0.56,2.11,0.35,1.00,0.3
Lucio Linhares,0.703703704,27,19,8,0,"6' 2""",185 lbs.,--,Orthodox,"Dec 08, 1973",0.99,0.22,3.47,0.34,1.86,0.50,0.50,1.9
Steve Lopez,0.65,20,13,6,1,"5' 11""",155 lbs.,--,Orthodox,"Jul 30, 1984",1.39,0.24,2.69,0.62,0.00,0.00,0.37,0
